id,age,cartype,loanamount,deposit,area,apr,applicationoutcome,funded,age_bucket,depositratio,apr_pct
9997,61,Convertible,24108.0,881.0,rural,0.15,1,0,55+,0.036543885847020216,15%
9996,42,Saloon,5988.0,967.0,rural,0.2,1,0,35-44,0.16148964595855686,20%
9995,57,Saloon,5099.0,973.0,urban,0.15,1,0,55+,0.19082172975089412,15%
9994,32,Convertible,20774.0,1478.0,rural,0.0,0,0,25-34,0.07114662558967598,0%
9993,29,Saloon,4612.0,774.0,urban,0.0,0,0,25-34,0.16782307025148138,0%
9988,63,Saloon,2980.0,679.0,rural,0.0,0,0,55+,0.22785234899321213,0%
9985,49,SUV,9738.0,671.0,rural,0.15,1,1,45-54,0.0689053193674195,15%
9981,52,Saloon,6341.0,533.0,urban,0.15,1,0,45-54,0.08405614256425105,15%
9979,21,Convertible,18056.0,1152.0,urban,0.0,0,0,<25,0.0638015064244537,0%
9978,19,SUV,14884.0,1233.0,rural,0.0,0,0,<25,0.08284063423810246,0%
9977,28,SUV,13959.0,616.0,urban,0.0,0,0,25-34,0.04412923561859416,0%
9974,49,SUV,2981.0,1132.0,rural,0.1,1,0,45-54,0.37973834283784647,10%
9972,48,Saloon,14197.0,1339.0,urban,0.15,1,0,45-54,0.094315700500099,15%
9970,33,Saloon,3799.0,764.0,urban,0.2,1,0,25-34,0.20110555409312947,20%
9969,60,Convertible,10179.0,823.0,rural,0.15,1,0,55+,0.08085273602514187,15%
9963,46,Convertible,25384.0,1067.0,rural,0.15,1,1,45-54,0.042034352347934054,15%
9960,39,Saloon,5104.0,1470.0,rural,0.15,1,1,35-44,0.2880094043886583,15%
9955,62,Saloon,5033.0,1098.0,urban,0.15,1,1,55+,0.21816014305578815,15%
9953,57,SUV,11775.0,843.0,rural,0.2,1,0,55+,0.071592356687892,20%
9952,40,Saloon,3670.0,1507.0,rural,0.15,1,0,35-44,0.4106267029971633,15%
9948,41,Saloon,13692.0,1600.0,urban,0.15,1,1,35-44,0.11685655857434145,15%
9944,62,Saloon,5648.0,1239.0,rural,0.0,0,0,55+,0.21936968838523027,0%
9941,49,Saloon,3216.0,1263.0,urban,0.2,1,1,45-54,0.39272388059689284,20%
9940,48,Saloon,3152.0,833.0,rural,0.15,1,0,45-54,0.26427664974610904,15%
9937,61,Convertible,14282.0,505.0,rural,0.05,1,0,55+,0.035359193390278994,5%
9933,43,Saloon,9642.0,872.0,urban,0.1,1,1,35-44,0.09043766853348989,10%
9931,40,Convertible,12948.0,886.0,rural,0.1,1,1,35-44,0.06842755637935832,10%
9928,38,SUV,16765.0,1170.0,rural,0.25,1,0,35-44,0.06978824932895497,25%
9927,18,Saloon,12558.0,1551.0,rural,0.0,0,0,<25,0.1235069278547441,0%
9922,26,Saloon,14580.0,917.0,rural,0.0,0,0,25-34,0.06289437585733451,0%
9921,27,Convertible,9500.0,846.0,rural,0.0,0,0,25-34,0.08905263157893799,0%
9920,18,Saloon,12525.0,666.0,urban,0.0,0,0,<25,0.053173652694606534,0%
9918,47,Saloon,7779.0,989.0,urban,0.15,1,0,45-54,0.12713716415990137,15%
9915,65,Saloon,15198.0,1293.0,urban,0.25,1,1,55+,0.0850769838136541,25%
9914,52,SUV,3891.0,723.0,rural,0.1,1,0,45-54,0.1858134155743547,10%
9911,49,SUV,18466.0,1071.0,rural,0.0,0,0,45-54,0.05799848369976941,0%
9910,27,Convertible,20383.0,698.0,urban,0.15,1,0,25-34,0.03424422312711405,15%
9907,57,Convertible,17519.0,1666.0,rural,0.2,1,0,55+,0.09509675209771704,20%
9904,38,Saloon,15760.0,1267.0,urban,0.25,1,0,35-44,0.08039340101522333,25%
9902,50,Saloon,5689.0,681.0,urban,0.0,0,0,45-54,0.11970469326768857,0%
9892,43,SUV,11053.0,1182.0,urban,0.25,1,0,35-44,0.10693929249976414,25%
9891,35,Convertible,26100.0,1093.0,urban,0.0,0,0,35-44,0.04187739463601372,0%
9890,38,Convertible,19105.0,1422.0,rural,0.05,1,0,35-44,0.07443077728342976,5%
9889,59,SUV,13230.0,654.0,urban,0.15,1,1,55+,0.04943310657595998,15%
9888,41,Saloon,2950.0,682.0,urban,0.2,1,0,35-44,0.23118644067788774,20%
9884,36,Saloon,4731.0,772.0,rural,0.15,1,0,35-44,0.16317903191710775,15%
9882,24,Saloon,5124.0,1461.0,urban,0.15,1,1,<25,0.2851288056205532,15%
9879,19,Saloon,11093.0,1769.0,urban,0.0,0,0,<25,0.15946993599565856,0%
9878,32,SUV,16748.0,609.0,urban,0.2,1,1,25-34,0.036362550752326465,20%
9874,64,SUV,6925.0,1440.0,urban,0.05,1,1,55+,0.20794223826711797,5%
9872,48,Convertible,24974.0,577.0,urban,0.05,1,0,45-54,0.023104028189315964,5%
9870,34,Convertible,22891.0,828.0,urban,0.0,0,0,25-34,0.03617142108251994,0%
9868,22,Convertible,19582.0,1007.0,rural,0.0,0,0,<25,0.05142477785721318,0%
9866,25,Saloon,5639.0,541.0,rural,0.25,1,0,25-34,0.09593899627591843,25%
9864,40,SUV,15144.0,564.0,urban,0.15,1,0,35-44,0.0372424722662416,15%
9863,38,Saloon,3113.0,1290.0,urban,0.25,1,1,35-44,0.41439126244766644,25%
9862,39,SUV,11439.0,893.0,rural,0.05,1,1,35-44,0.07806626453360625,5%
9861,49,SUV,16387.0,1533.0,urban,0.05,1,1,45-54,0.09354976505766195,5%
9859,21,Saloon,6288.0,1016.0,urban,0.15,1,0,<25,0.16157760814246794,15%
9858,48,Saloon,5811.0,896.0,urban,0.25,1,0,45-54,0.15419032868694643,25%
9851,62,Saloon,3282.0,1230.0,urban,0.25,1,1,55+,0.37477148080427336,25%
9848,45,SUV,7069.0,1236.0,urban,0.0,0,0,45-54,0.17484792757106027,0%
9845,35,Saloon,6570.0,875.0,rural,0.2,1,1,35-44,0.133181126331791,20%
9844,22,Saloon,6138.0,1205.0,rural,0.15,1,0,<25,0.19631801889863207,15%
9840,43,Saloon,13858.0,1640.0,urban,0.2,1,1,35-44,0.11834319526626365,20%
9836,19,SUV,17994.0,617.0,rural,0.0,0,0,<25,0.034289207513613744,0%
9834,55,SUV,4360.0,1001.0,urban,0.1,1,0,55+,0.22958715596325008,10%
9833,41,Convertible,20001.0,861.0,urban,0.15,1,0,35-44,0.043047847607617463,15%
9831,37,Saloon,5339.0,971.0,rural,0.2,1,1,35-44,0.18186926390706462,20%
9829,59,Saloon,2916.0,846.0,rural,0.2,1,0,55+,0.29012345679002394,20%
9828,58,Saloon,4411.0,741.0,rural,0.15,1,0,55+,0.1679891181137683,15%
9826,43,SUV,7742.0,1498.0,rural,0.25,1,0,35-44,0.19349005424952292,25%
9825,18,Saloon,5977.0,723.0,urban,0.0,0,0,<25,0.12096369416093006,0%
9824,63,Saloon,4525.0,615.0,urban,0.2,1,1,55+,0.1359116022099147,20%
9823,37,SUV,4551.0,1223.0,rural,0.25,1,0,35-44,0.2687321467808682,25%
9822,24,Saloon,5197.0,1078.0,rural,0.0,0,0,<25,0.2074273619395406,0%
9820,21,Saloon,4161.0,1419.0,rural,0.0,0,0,<25,0.34102379235752434,0%
9817,65,Saloon,11209.0,1385.0,urban,0.2,1,1,55+,0.12356142385581911,20%
9815,49,Saloon,6130.0,692.0,urban,0.25,1,1,45-54,0.11288743882543019,25%
9813,52,SUV,4744.0,618.0,urban,0.15,1,1,45-54,0.13026981450250205,15%
9811,37,Saloon,2855.0,1402.0,rural,0.15,1,0,35-44,0.49106830122574746,15%
9810,21,Saloon,3592.0,1035.0,urban,0.0,0,0,<25,0.2881403118039287,0%
9807,21,Saloon,10396.0,1723.0,urban,0.25,1,1,<25,0.1657368218545435,25%
9804,37,Saloon,5380.0,1255.0,urban,0.15,1,1,35-44,0.23327137546464063,15%
9803,36,Saloon,4956.0,678.0,urban,0.2,1,1,35-44,0.13680387409198208,20%
9802,57,Saloon,12415.0,1340.0,rural,0.2,1,0,55+,0.10793395086587934,20%
9801,57,SUV,19228.0,1716.0,urban,0.2,1,0,55+,0.08924485125857659,20%
9791,39,Saloon,11917.0,736.0,rural,0.25,1,0,35-44,0.061760510195513825,25%
9789,63,Saloon,8765.0,740.0,urban,0.15,1,0,55+,0.08442669709069202,15%
9787,64,Convertible,13978.0,1208.0,urban,0.05,1,1,55+,0.0864215195306849,5%
9786,50,Convertible,18312.0,1296.0,rural,0.05,1,0,45-54,0.07077326343381003,5%
9785,50,Convertible,19796.0,1397.0,rural,0.1,1,1,45-54,0.07056981208324557,10%
9783,51,Saloon,10522.0,656.0,urban,0.25,1,1,45-54,0.06234556168028299,25%
9778,46,SUV,3355.0,731.0,urban,0.2,1,0,45-54,0.21788375558860867,20%
9776,45,Saloon,9594.0,1222.0,urban,0.15,1,0,45-54,0.12737127371272383,15%
9773,39,SUV,14089.0,1351.0,urban,0.1,1,0,35-44,0.0958904109588973,10%
9772,32,SUV,15820.0,1356.0,urban,0.25,1,0,25-34,0.08571428571428029,25%
9764,19,SUV,4063.0,803.0,urban,0.15,1,1,<25,0.1976372138813198,15%
9759,30,Saloon,15497.0,931.0,rural,0.0,0,0,25-34,0.06007614376975801,0%
9758,59,Saloon,8281.0,1072.0,rural,0.0,0,0,55+,0.12945296461778413,0%
9756,29,Saloon,14377.0,1591.0,rural,0.0,0,0,25-34,0.11066286429713357,0%
